range,url,name,passmark,price
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+9654&id=5088,AMD EPYC 9654,124119,$7230.00
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+5995WX&id=4764,AMD Ryzen Threadripper PRO 5995WX,94515,$6644.99
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7773X&id=4884,AMD EPYC 7773X,90731,$4249.00
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7763&id=4207,AMD EPYC 7763,85944,$3665.00
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7J13&id=4300,AMD EPYC 7J13,85661,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7713&id=4206,AMD EPYC 7713,85521,$4500.00
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7713P&id=4714,AMD EPYC 7713P,83439,$4550.00
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+3995WX&id=3837,AMD Ryzen Threadripper PRO 3995WX,83097,$6248.58
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7V13&id=4365,AMD EPYC 7V13,82878,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+3990X&id=3674,AMD Ryzen Threadripper 3990X,81109,$4135.75
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+9354P&id=5173,AMD EPYC 9354P,79341,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7B13&id=4535,AMD EPYC 7B13,77460,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7643&id=4205,AMD EPYC 7643,76455,$4550.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+5975WX&id=4776,AMD Ryzen Threadripper PRO 5975WX,76440,$3170.00
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7T83&id=4828,AMD EPYC 7T83,74892,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7662&id=4251,AMD EPYC 7662,73143,$3999.99*
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7702&id=3719,AMD EPYC 7702,70628,$2098.46
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+75F3&id=4416,AMD EPYC 75F3,68505,$4999.00
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7543P&id=4508,AMD EPYC 7543P,67081,$2350.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+5965WX&id=4768,AMD Ryzen Threadripper PRO 5965WX,66337,$2238.99
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7742&id=3547,AMD EPYC 7742,65629,$2098.00
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7R32&id=3894,AMD EPYC 7R32,64727,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+3970X&id=3623,AMD Ryzen Threadripper 3970X,63477,$2799.00
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7950X&id=5031,AMD Ryzen 9 7950X,63440,$581.05
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+3975WX&id=3851,AMD Ryzen Threadripper PRO 3975WX,62862,$2975.03
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900KS&id=5160,Intel Core i9-13900KS,62557,$729.99
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8380+%40+2.30GHz&id=4483,Intel Xeon Platinum 8380 @ 2.30GHz,62318,$8978.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7702P&id=3555,AMD EPYC 7702P,62007,$1898.50
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+74F3&id=4560,AMD EPYC 74F3,60587,$3100.00
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7642&id=4336,AMD EPYC 7642,60115,$1830.00
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900K&id=5022,Intel Core i9-13900K,60035,$569.99
